,b,ep_id,g,r,src,step,type
0,0.7997710704803467,0,0.07997706532478333,0.10012026131153107,sim,0,b2r
1,0.7660965323448181,0,0.07668852806091309,0.11680865287780762,sim,1,b2r
2,0.734514057636261,0,0.07353097200393677,0.13285528123378754,sim,2,b2r
3,0.7040049433708191,0,0.07047370821237564,0.14811445772647858,sim,3,b2r
4,0.6745437979698181,0,0.06751399487257004,0.16258852183818817,sim,4,b2r
5,0.6469420790672302,0,0.06471555680036545,0.17673733830451965,sim,5,b2r
6,0.61982262134552,0,0.06199240684509277,0.19019709527492523,sim,6,b2r
7,0.5943053364753723,0,0.05940680205821991,0.20308779180049896,sim,7,b2r
8,0.5693107843399048,0,0.05691703408956528,0.21537986397743225,sim,8,b2r
9,0.5460769534111023,0,0.054578520357608795,0.22726064920425415,sim,9,b2r
10,0.5232834219932556,0,0.052298951894044876,0.23850618302822113,sim,10,b2r
11,0.5016564726829529,0,0.05011700466275215,0.24940000474452972,sim,11,b2r
12,0.4808350205421448,0,0.04800889641046524,0.25988826155662537,sim,12,b2r
13,0.46089988946914673,0,0.04603847861289978,0.2697802782058716,sim,13,b2r
14,0.4416310489177704,0,0.04413183778524399,0.27939367294311523,sim,14,b2r
15,0.42337843775749207,0,0.04228962957859039,0.2887322008609772,sim,15,b2r
16,0.4057336747646332,0,0.040514737367630005,0.29729101061820984,sim,16,b2r
17,0.38887450098991394,0,0.038805603981018066,0.30570200085639954,sim,17,b2r
18,0.37303146719932556,0,0.03722592815756798,0.31359249353408813,sim,18,b2r
19,0.3572640120983124,0,0.035647425800561905,0.32147982716560364,sim,19,b2r
20,0.3425056040287018,0,0.03413496911525726,0.3288457989692688,sim,20,b2r
21,0.3283270299434662,0,0.03270522132515907,0.3356935381889343,sim,21,b2r
22,0.31464678049087524,0,0.03135456517338753,0.3425336480140686,sim,22,b2r
23,0.3018915355205536,0,0.03005591779947281,0.34936508536338806,sim,23,b2r
24,0.2893882691860199,0,0.02880631946027279,0.3556811809539795,sim,24,b2r
25,0.27724841237068176,0,0.027621980756521225,0.3618771433830261,sim,25,b2r
26,0.26570266485214233,0,0.02646106481552124,0.36768120527267456,sim,26,b2r
27,0.25466394424438477,0,0.025350812822580338,0.37306323647499084,sim,27,b2r
28,0.2441406548023224,0,0.024299850687384605,0.3783334493637085,sim,28,b2r
29,0.23410265147686005,0,0.023308467119932175,0.38342994451522827,sim,29,b2r
30,0.2243073731660843,0,0.02232873998582363,0.3883037269115448,sim,30,b2r
31,0.2149791270494461,0,0.021401669830083847,0.3929087817668915,sim,31,b2r
32,0.20602726936340332,0,0.020520411431789398,0.3972996175289154,sim,32,b2r
33,0.19731195271015167,0,0.019665420055389404,0.4016019105911255,sim,33,b2r
34,0.1891460120677948,0,0.018843291327357292,0.40574896335601807,sim,34,b2r
35,0.18126367032527924,0,0.018054010346531868,0.4097352921962738,sim,35,b2r
36,0.1736309826374054,0,0.017297159880399704,0.4135585427284241,sim,36,b2r
37,0.16653035581111908,0,0.016574067994952202,0.4170750379562378,sim,37,b2r
38,0.15963450074195862,0,0.015883460640907288,0.4204810559749603,sim,38,b2r
39,0.1531139761209488,0,0.015225903131067753,0.4237227439880371,sim,39,b2r
40,0.14680010080337524,0,0.014591258019208908,0.4268859922885895,sim,40,b2r
41,0.14074920117855072,0,0.013986949808895588,0.42998290061950684,sim,41,b2r
42,0.13489429652690887,0,0.013403894379734993,0.432923287153244,sim,42,b2r
43,0.12936696410179138,0,0.012858159840106964,0.4356647729873657,sim,43,b2r
44,0.12398479133844376,0,0.01231772918254137,0.4384714663028717,sim,44,b2r
45,0.11883633583784103,0,0.011805829592049122,0.4409264326095581,sim,45,b2r
46,0.11391441524028778,0,0.01131250150501728,0.44336196780204773,sim,46,b2r
47,0.10917795449495316,0,0.010835649445652962,0.445464164018631,sim,47,b2r
48,0.10461404174566269,0,0.010391760617494583,0.44764235615730286,sim,48,b2r
49,0.10023408383131027,0,0.009947828017175198,0.449995756149292,sim,49,b2r
50,0.09602513164281845,0,0.009536508470773697,0.45210394263267517,sim,50,b2r
51,0.09207279235124588,0,0.009141863323748112,0.45419031381607056,sim,51,b2r
52,0.08825621008872986,0,0.008759921416640282,0.4556838274002075,sim,52,b2r
53,0.08458060026168823,0,0.00840213242918253,0.45775744318962097,sim,53,b2r
54,0.08102942258119583,0,0.008056902326643467,0.45947664976119995,sim,54,b2r
55,0.07760939747095108,0,0.007723427843302488,0.4609207212924957,sim,55,b2r
56,0.07442162930965424,0,0.0073991031385958195,0.46263107657432556,sim,56,b2r
